AUTO,distance,angle,Length,distance_2,angle_2,pre_monsoon1,post_monsoon1
1,50,233.063482341182,300,0,143.063482341178,278.766662597656,278.842590332031
1,50,233.063482341182,300,10,143.063482341178,278.758026123047,278.83251953125
1,50,233.063482341182,300,20,143.063482341178,277.870391845703,278.043762207031
1,50,233.063482341182,300,30,143.063482341178,277.655303955078,277.922546386719
1,50,233.063482341182,300,40,143.063482341178,277.854614257812,277.990844726562
1,50,233.063482341182,300,50,143.063482341178,277.785064697266,277.927703857422
1,50,233.063482341182,300,60,143.063482341178,277.817108154297,278.020782470703
1,50,233.063482341182,300,70,143.063482341178,277.692077636719,277.890991210938
1,50,233.063482341182,300,80,143.063482341178,277.592041015625,277.813995361328
1,50,233.063482341182,300,90,143.063482341178,277.595306396484,277.910858154297
1,50,233.063482341182,300,100,143.063482341178,277.542297363281,277.775268554688
1,50,233.063482341182,300,110,143.063482341178,277.653137207031,277.780303955078
1,50,233.063482341182,300,120,143.063482341178,277.569854736328,277.632629394531
1,50,233.063482341182,300,130,143.063482341178,277.479736328125,277.562591552734
1,50,233.063482341182,300,140,143.063482341178,277.536773681641,277.625457763672
1,50,233.063482341182,300,150,143.063482341178,277.4130859375,277.49072265625
1,50,233.063482341182,300,160,143.063482341178,276.939239501953,277.160064697266
1,50,233.063482341182,300,170,143.063482341178,277.118774414062,277.324768066406
1,50,233.063482341182,300,180,143.063482341178,277.254943847656,277.437896728516
1,50,233.063482341182,300,190,143.063482341178,277.457336425781,277.550689697266
1,50,233.063482341182,300,200,143.063482341178,277.396240234375,277.708374023438
1,50,233.063482341182,300,210,143.063482341178,277.381622314453,277.762237548828
1,50,233.063482341182,300,220,143.063482341178,277.587615966797,277.967834472656
1,50,233.063482341182,300,230,143.063482341178,277.521209716797,278.068206787109
1,50,233.063482341182,300,240,143.063482341178,277.566955566406,278.176605224609
1,50,233.063482341182,300,250,143.063482341178,277.677764892578,278.287628173828
1,50,233.063482341182,300,260,143.063482341178,277.581237792969,278.276824951172
1,50,233.063482341182,300,270,143.063482341178,277.785858154297,278.327423095703
1,50,233.063482341182,300,280,143.063482341178,278.298522949219,278.572906494141
1,50,233.063482341182,300,290,143.063482341178,278.614410400391,278.764862060547
1,100,223.774663501914,308,0,133.774663501917,277.515472412109,277.619018554688
1,100,223.774663501914,308,10,133.774663501917,277.659332275391,277.753204345703
1,100,223.774663501914,308,20,133.774663501917,277.320037841797,277.437103271484
1,100,223.774663501914,308,30,133.774663501917,277.196044921875,277.333404541016
1,100,223.774663501914,308,40,133.774663501917,277.043792724609,277.233001708984
1,100,223.774663501914,308,50,133.774663501917,276.996429443359,277.218566894531
1,100,223.774663501914,308,60,133.774663501917,276.984008789062,277.275054931641
1,100,223.774663501914,308,70,133.774663501917,276.902099609375,277.209320068359
1,100,223.774663501914,308,80,133.774663501917,276.935211181641,277.276794433594
1,100,223.774663501914,308,90,133.774663501917,276.844879150391,277.200592041016
1,100,223.774663501914,308,100,133.774663501917,276.822448730469,277.283233642578
1,100,223.774663501914,308,110,133.774663501917,276.797882080078,277.255706787109
1,100,223.774663501914,308,120,133.774663501917,276.811340332031,277.265350341797
1,100,223.774663501914,308,130,133.774663501917,276.859741210938,277.143493652344
1,100,223.774663501914,308,140,133.774663501917,276.851226806641,277.108642578125
1,100,223.774663501914,308,150,133.774663501917,276.848541259766,277.090698242188
1,100,223.774663501914,308,160,133.774663501917,276.789794921875,277.042907714844
1,100,223.774663501914,308,170,133.774663501917,276.756225585938,277.060333251953
1,100,223.774663501914,308,180,133.774663501917,276.769775390625,277.100280761719
1,100,223.774663501914,308,190,133.774663501917,276.794982910156,277.138000488281
1,100,223.774663501914,308,200,133.774663501917,276.805480957031,277.218688964844
1,100,223.774663501914,308,210,133.774663501917,276.886383056641,277.297058105469
1,100,223.774663501914,308,220,133.774663501917,276.967437744141,277.420501708984
1,100,223.774663501914,308,230,133.774663501917,277.086883544922,277.493560791016
1,100,223.774663501914,308,240,133.774663501917,277.163421630859,277.558258056641
1,100,223.774663501914,308,250,133.774663501917,277.307067871094,277.686462402344
1,100,223.774663501914,308,260,133.774663501917,277.404144287109,277.751678466797
1,100,223.774663501914,308,270,133.774663501917,277.492492675781,277.815277099609
1,100,223.774663501914,308,280,133.774663501917,277.687835693359,277.945617675781
1,100,223.774663501914,308,290,133.774663501917,277.790313720703,278.013031005859
